"Année de naissance";"Sexe";"Age";"Quotient de mortalité par âge x (Qx)"
"1908";"Homme";"100 ans";0.330000
"1908";"Homme";"101 ans";0.432836
"1908";"Homme";"102 ans";0.396448
"1908";"Homme";"103 ans";0.543952
"1908";"Homme";"104 ans";0.400000
"1908";"Homme";"105 ans";0.166667
"1908";"Homme";"106 ans";0.421053
"1908";"Homme";"107 ans";0.000000
"1908";"Homme";"108 ans";1.000000
"1908";"Homme";"109 ans";1.000000
"1908";"Homme";"110 ans";1.000000
"1908";"Homme";"111 ans";1.000000
"1908";"Homme";"112 ans";1.000000
"1908";"Homme";"113 ans";1.000000
"1908";"Homme";"114 ans";1.000000
"1908";"Homme";"115 ans";1.000000
"1908";"Homme";"116 ans";1.000000
"1908";"Homme";"117 ans";1.000000
"1908";"Homme";"118 ans";1.000000
"1908";"Homme";"119 ans";1.000000
"1908";"Homme";"120 ans";1.000000
"1909";"Homme";"65 ans";0.024927
"1909";"Homme";"66 ans";0.029068
"1909";"Homme";"67 ans";0.029795
"1909";"Homme";"68 ans";0.033879
"1909";"Homme";"69 ans";0.036274
"1909";"Homme";"70 ans";0.036827
"1909";"Homme";"71 ans";0.042068
"1909";"Homme";"72 ans";0.044083
"1909";"Homme";"73 ans";0.051923
"1909";"Homme";"74 ans";0.052904
"1909";"Homme";"75 ans";0.055808
"1909";"Homme";"76 ans";0.062759
"1909";"Homme";"77 ans";0.063858
"1909";"Homme";"78 ans";0.070086
"1909";"Homme";"79 ans";0.077565
"1909";"Homme";"80 ans";0.084392
"1909";"Homme";"81 ans";0.097268
"1909";"Homme";"82 ans";0.100303
"1909";"Homme";"83 ans";0.107434
"1909";"Homme";"84 ans";0.118047
"1909";"Homme";"85 ans";0.124029
"1909";"Homme";"86 ans";0.135594
"1909";"Homme";"87 ans";0.148157
"1909";"Homme";"88 ans";0.174437
"1909";"Homme";"89 ans";0.187792
"1909";"Homme";"90 ans";0.192704
"1909";"Homme";"91 ans";0.220820
"1909";"Homme";"92 ans";0.226923
"1909";"Homme";"93 ans";0.241937
"1909";"Homme";"94 ans";0.276658
"1909";"Homme";"95 ans";0.322419
"1909";"Homme";"96 ans";0.317060
"1909";"Homme";"97 ans";0.292383
"1909";"Homme";"98 ans";0.350694
"1909";"Homme";"99 ans";0.406417
"1909";"Homme";"100 ans";0.387387
"1909";"Homme";"101 ans";0.471569
"1909";"Homme";"102 ans";0.624113
"1909";"Homme";"103 ans";0.363636
"1909";"Homme";"104 ans";0.368687
"1909";"Homme";"105 ans";0.600000
"1909";"Homme";"106 ans";1.000000
"1909";"Homme";"107 ans";1.000000
"1909";"Homme";"108 ans";1.000000
"1909";"Homme";"109 ans";1.000000
"1909";"Homme";"110 ans";1.000000
"1909";"Homme";"111 ans";1.000000
"1909";"Homme";"112 ans";1.000000
